nregistro,nombre,principios_activos,pdf_url
67919,"ADARTREL 0,25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",ropinirol,https://cima.aemps.es/cima/pdfs/ft/67919/FT_67919.pdf
67921,ADARTREL 0.5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ropinirol,https://cima.aemps.es/cima/pdfs/ft/67921/FT_67921.pdf
67922,ADARTREL 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ropinirol,https://cima.aemps.es/cima/pdfs/ft/67922/FT_67922.pdf
113823002,"ADASUVE 9,1 MG POLVO PARA INHALACION (UNIDOSIS)",loxapina,https://cima.aemps.es/cima/pdfs/ft/113823002/FT_113823002.pdf
112794001,ADCETRIS 50 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,brentuximab vedotina,https://cima.aemps.es/cima/pdfs/ft/112794001/FT_112794001.pdf
113907004,ADEMPAS 1 mg comprimidos recubiertos con pelicula,riociguat,https://cima.aemps.es/cima/pdfs/ft/113907004/FT_113907004.pdf
113907007,"ADEMPAS 1,5 mg comprimidos recubiertos con pelicula",riociguat,https://cima.aemps.es/cima/pdfs/ft/113907007/FT_113907007.pdf
113907010,ADEMPAS 2 mg comprimidos recubiertos con pelicula,riociguat,https://cima.aemps.es/cima/pdfs/ft/113907010/FT_113907010.pdf
113907013,"ADEMPAS 2,5 mg comprimidos recubiertos con pelicula",riociguat,https://cima.aemps.es/cima/pdfs/ft/113907013/FT_113907013.pdf
81545,ADENOSINA ACCORD 6 MG/2 ML SOLUCION INYECTABLE EFG,adenosina,https://cima.aemps.es/cima/pdfs/ft/81545/FT_81545.pdf
08447003,ADENURIC 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,febuxostat,https://cima.aemps.es/cima/pdfs/ft/08447003/FT_08447003.pdf
08447001,ADENURIC 80 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,febuxostat,https://cima.aemps.es/cima/pdfs/ft/08447001/FT_08447001.pdf
78572,"ADIERIS 2 MG/0,03 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",dienogest + etinilestradiol,https://cima.aemps.es/cima/pdfs/ft/78572/FT_78572.pdf
62825,ADIRO 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ácido acetilsalicílico,https://cima.aemps.es/cima/pdfs/ft/62825/FT_62825.pdf
62824,ADIRO 300MG comprimidos gastrorresistentes EFG,ácido acetilsalicílico,https://cima.aemps.es/cima/pdfs/ft/62824/FT_62824.pdf
83490,ADISOCOL 150 MG COMPRIMIDOS EFG,ácido ursodeoxicólico,https://cima.aemps.es/cima/pdfs/ft/83490/FT_83490.pdf
83489,ADISOCOL 300 MG COMPRIMIDOS EFG,ácido ursodeoxicólico,https://cima.aemps.es/cima/pdfs/ft/83489/FT_83489.pdf
